index	Ontology	GO id	GO term	value	pval	qval
24	BP	GO:0022610	biological adhesion	683	1.110486395002379e-07	9.085629521777797e-05
25	CC	GO:0098982	GABA-ergic synapse	60	4.0074080861981175e-07	0.00010831451570124055
26	BP	GO:1904889	regulation of excitatory synapse assembly	11	1.663355854477383e-07	0.00011664876985184961
27	BP	GO:0099150	regulation of postsynaptic specialization assembly	11	1.663355854477383e-07	0.00011664876985184961
28	BP	GO:1905874	regulation of postsynaptic density organization	11	1.663355854477383e-07	0.00011664876985184961
29	BP	GO:0048812	neuron projection morphogenesis	193	1.2233615958590504e-06	0.0008189293737371016
30	CC	GO:0005886	plasma membrane	3472	3.496938158663862e-06	0.0008270258745240033
31	BP	GO:0120039	plasma membrane bounded cell projection morphogenesis	198	1.3881716399710318e-06	0.0008703319793838384
32	BP	GO:0099175	regulation of postsynapse organization	82	1.418345046867123e-06	0.0008703319793838384
33	BP	GO:0048858	cell projection morphogenesis	203	1.570063936334649e-06	0.0009248932636160151
34	BP	GO:0051128	regulation of cellular component organization	1899	1.8504114594301708e-06	0.0010481157524241586
35	BP	GO:0032989	cellular component morphogenesis	218	2.2311323985765725e-06	0.001173495958351328
36	BP	GO:0032990	cell part morphogenesis	218	2.2311323985765725e-06	0.001173495958351328
37	BP	GO:0099537	trans-synaptic signaling	261	5.397356778347418e-06	0.002740926664645601
38	BP	GO:0099536	synaptic signaling	267	6.031615461429757e-06	0.002960920030015867
39	CC	GO:0098590	plasma membrane region	914	1.7321563548896922e-05	0.0036413775816125527
40	BP	GO:0051130	positive regulation of cellular component organization	915	1.7446910424869478e-05	0.008288408058937187
41	CC	GO:0043229	intracellular organelle	7347	8.479625144544215e-05	0.016043450773477654
42	BP	GO:0051094	positive regulation of developmental process	1058	4.5209576563263455e-05	0.0208062948139744
43	CC	GO:0043226	organelle	8123	0.00013325540644353793	0.022919929908288526
44	BP	GO:2000026	regulation of multicellular organismal development	1123	6.661563744120427e-05	0.02972874219989743
45	BP	GO:0007267	cell-cell signaling	478	9.998068863298484e-05	0.04330634122052846
46	BP	GO:0007268	chemical synaptic transmission	246	0.00010927284780169877	0.04470170082154493
47	BP	GO:0098916	anterograde trans-synaptic signaling	246	0.00010927284780169877	0.04470170082154493
48	BP	GO:0051240	positive regulation of multicellular organismal process	1234	0.00012240698808946803	0.04872128955658367
49	BP	GO:0099172	presynapse organization	17	0.00014793319590676628	0.05733189937155124
50	BP	GO:0023052	signaling	539	0.00017640353110263938	0.06661268724483513
51	CC	GO:0048786	presynaptic active zone	33	0.0005687028741205814	0.08631651532412205
52	CC	GO:0008328	ionotropic glutamate receptor complex	34	0.0006038751984337294	0.08631651532412205
53	CC	GO:0043227	membrane-bounded organelle	7485	0.0006387057159290214	0.08631651532412205
54	CC	GO:0098878	neurotransmitter receptor complex	39	0.000795182394836779	0.10029900606874573
55	CC	GO:0043231	intracellular membrane-bounded organelle	6586	0.0009338618202648127	0.11042916024631409
56	BP	GO:0030030	cell projection organization	654	0.0004355019299096685	0.1603409230444922
57	BP	GO:0007154	cell communication	704	0.000612098992587493	0.21986297228868318
58	BP	GO:0009653	anatomical structure morphogenesis	1116	0.0006393582209214636	0.22418639332167603
59	BP	GO:1902115	regulation of organelle assembly	164	0.0006606657704295825	0.22627034421201075
60	BP	GO:0007528	neuromuscular junction development	36	0.0006773147852813093	0.2267003373372237
61	BP	GO:0051239	regulation of multicellular organismal process	2197	0.0006982816481039114	0.2285243073694734
62	BP	GO:0050808	synapse organization	173	0.0007718549012970516	0.24711102459568868
63	BP	GO:0043113	receptor clustering	41	0.0008788770322074914	0.2753877032621218
64	CC	GO:0016020	membrane	5983	0.0034047216726871025	0.3789254943955293
65	CC	GO:0042734	presynaptic membrane	100	0.00511641150313896	0.5377916979966062
66	CC	GO:0043235	receptor complex	342	0.00540435631369891	0.5381601129220178
67	BP	GO:0008152	metabolic process	5964	0.0018121028525393582	0.5559758064447319
68	BP	GO:0050793	regulation of developmental process	1922	0.0019518720086030387	0.5866371238917745
69	CC	GO:0044300	cerebellar mossy fiber	7	0.00761056875821745	0.7199598045273707
70	CC	GO:0017146	NMDA selective glutamate receptor complex	9	0.009775175937494945	0.8806968035114493
71	BP	GO:1902951	negative regulation of dendritic spine maintenance	3	0.003268245141616098	0.9626289240116056
72	MF	GO:0004910	interleukin-1, type II, blocking receptor activity	2	0.0021799272503714327	1.0
73	BP	GO:0071704	organic substance metabolic process	5642	0.003952846042648076	1.0
74	BP	GO:0097116	gephyrin clustering involved in postsynaptic density assembly	4	0.004355467226962548	1.0
75	BP	GO:0034330	cell junction organization	341	0.0053603494402583276	1.0
76	BP	GO:0072553	terminal button organization	5	0.005441594517895626	1.0
77	MF	GO:0016595	glutamate binding	5	0.005441594517895626	1.0
78	MF	GO:0022849	glutamate-gated calcium ion channel activity	5	0.005441594517895626	1.0
79	BP	GO:0032502	developmental process	3729	0.005492855576763191	1.0
80	MF	GO:1901363	heterocyclic compound binding	4261	0.0061702925070141815	1.0
81	MF	GO:0097159	organic cyclic compound binding	4309	0.006223392687729663	1.0
82	BP	GO:0007185	transmembrane receptor protein tyrosine phosphatase signaling pathway	6	0.006526628025051327	1.0
83	BP	GO:0030534	adult behavior	115	0.0067132078729979896	1.0
84	BP	GO:0099545	trans-synaptic signaling by trans-synaptic complex	7	0.00761056875821745	1.0
85	BP	GO:0072359	circulatory system development	7	0.00761056875821745	1.0
86	MF	GO:0004908	interleukin-1 receptor activity	7	0.00761056875821745	1.0
87	BP	GO:0097105	presynaptic membrane assembly	8	0.008693417726334213	1.0
88	MF	GO:0004972	NMDA glutamate receptor activity	8	0.008693417726334213	1.0
89	BP	GO:0044237	cellular metabolic process	5422	0.009002009927077363	1.0
90	BP	GO:0044238	primary metabolic process	5279	0.009162556943221954	1.0
91	BP	GO:0072578	neurotransmitter-gated ion channel clustering	9	0.009775175937494945	1.0
92	BP	GO:0097090	presynaptic membrane organization	9	0.009775175937494945	1.0
93	BP	GO:1902950	regulation of dendritic spine maintenance	10	0.01085584439894663	1.0
94	BP	GO:0098976	excitatory chemical synaptic transmission	10	0.01085584439894663	1.0
95	MF	GO:0016594	glycine binding	10	0.01085584439894663	1.0
96	BP	GO:0099054	presynapse assembly	12	0.013013916097483442	1.0
97	BP	GO:0007625	grooming behavior	12	0.013013916097483442	1.0
98	BP	GO:0007610	behavior	471	0.013037213540229433	1.0
99	CC	GO:0005634	nucleus	3862	0.01326778402000663	1.0
100	BP	GO:0016043	cellular component organization	3925	0.0135750537162756	1.0
101	CC	GO:0098802	plasma membrane signaling receptor complex	166	0.013593064642060587	1.0
102	BP	GO:0120035	regulation of plasma membrane bounded cell projection organization	480	0.013721806652789655	1.0
103	BP	GO:0071840	cellular component organization or biogenesis	4008	0.014202844476615177	1.0
104	BP	GO:0031344	regulation of cell projection organization	492	0.014666729828068149	1.0
105	MF	GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	14	0.015167640863019418	1.0
106	MF	GO:0019198	transmembrane receptor protein phosphatase activity	14	0.015167640863019418	1.0
107	MF	GO:0099507	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	14	0.015167640863019418	1.0
108	CC	GO:0009986	cell surface	506	0.015815881051980393	1.0
109	BP	GO:0021756	striatum development	15	0.0162428756550561	1.0
110	BP	GO:0051290	protein heterotetramerization	15	0.0162428756550561	1.0
111	CC	GO:0034703	cation channel complex	184	0.016527093965434447	1.0
112	MF	GO:0003953	NAD+ nucleosidase activity	16	0.017317026723129694	1.0
113	MF	GO:0050135	NAD(P)+ nucleosidase activity	16	0.017317026723129694	1.0
114	MF	GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	16	0.017317026723129694	1.0
115	BP	GO:0048522	positive regulation of cellular process	4266	0.017843079085824165	1.0
116	BP	GO:0048869	cellular developmental process	2138	0.017967527781417716	1.0
117	BP	GO:0007164	establishment of tissue polarity	17	0.018390095068581136	1.0
118	BP	GO:0001736	establishment of planar polarity	17	0.018390095068581136	1.0
119	BP	GO:0050769	positive regulation of neurogenesis	197	0.018801211067452014	1.0
120	MF	GO:0004970	ionotropic glutamate receptor activity	18	0.01946208169191013	1.0
121	BP	GO:0006807	nitrogen compound metabolic process	4900	0.020031868782335854	1.0
122	BP	GO:0046426	negative regulation of receptor signaling pathway via JAK-STAT	19	0.020532987592775904	1.0
123	BP	GO:0051932	synaptic transmission, GABAergic	19	0.020532987592775904	1.0
124	CC	GO:0032281	AMPA glutamate receptor complex	19	0.020532987592775904	1.0
125	BP	GO:1904893	negative regulation of receptor signaling pathway via STAT	20	0.021602813769997706	1.0
126	MF	GO:0099604	ligand-gated calcium channel activity	20	0.021602813769997706	1.0
127	BP	GO:0051291	protein heterooligomerization	21	0.022671561221555555	1.0
128	BP	GO:0035235	ionotropic glutamate receptor signaling pathway	22	0.023739230944590826	1.0
129	BP	GO:0010468	regulation of gene expression	3390	0.025848230297588835	1.0
130	CC	GO:0034702	ion channel complex	236	0.0263667381103978	1.0
131	CC	GO:0005654	nucleoplasm	3125	0.026849381854422493	1.0
132	BP	GO:0050775	positive regulation of dendrite morphogenesis	25	0.02693578370140862	1.0
133	MF	GO:0008066	glutamate receptor activity	26	0.027999152465016695	1.0
134	BP	GO:2000463	positive regulation of excitatory postsynaptic potential	27	0.029061448473251643	1.0
135	BP	GO:0099505	regulation of presynaptic membrane potential	28	0.030122672718236335	1.0
136	BP	GO:0043588	skin development	29	0.03118282619125936	1.0
137	BP	GO:0010720	positive regulation of cell development	262	0.03199618138604808	1.0
138	BP	GO:0097120	receptor localization to synapse	30	0.032241909882775796	1.0
139	BP	GO:0051968	positive regulation of synaptic transmission, glutamatergic	31	0.0332999247824078	1.0
140	BP	GO:0031346	positive regulation of cell projection organization	270	0.03381768301575236	1.0
141	MF	GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	33	0.035412752160345895	1.0
142	MF	GO:0016597	amino acid binding	34	0.03646756661373716	1.0
143	BP	GO:0061098	positive regulation of protein tyrosine kinase activity	36	0.03857400198084798	1.0
144	BP	GO:0035249	synaptic transmission, glutamatergic	36	0.03857400198084798	1.0
145	CC	GO:0098686	hippocampal mossy fiber to CA3 synapse	36	0.03857400198084798	1.0
146	BP	GO:0098815	modulation of excitatory postsynaptic potential	37	0.03962562486467204	1.0
147	BP	GO:0043170	macromolecule metabolic process	4325	0.04013849559312872	1.0
148	MF	GO:0043167	ion binding	4200	0.04156789816205403	1.0
149	BP	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	39	0.04172568595190373	1.0
150	BP	GO:0048813	dendrite morphogenesis	39	0.04172568595190373	1.0
151	BP	GO:0007215	glutamate receptor signaling pathway	39	0.04172568595190373	1.0
152	BP	GO:0048518	positive regulation of biological process	4645	0.04186820340681238	1.0
153	CC	GO:0043005	neuron projection	747	0.04371923939783151	1.0
154	BP	GO:0060291	long-term synaptic potentiation	41	0.04382150734765249	1.0
155	BP	GO:0048168	regulation of neuronal synaptic plasticity	41	0.04382150734765249	1.0
156	BP	GO:0050767	regulation of neurogenesis	318	0.04557749999018472	1.0
157	BP	GO:0035418	protein localization to synapse	44	0.04695730718213558	1.0
158	BP	GO:0031326	regulation of cellular biosynthetic process	2899	0.04752825239734893	1.0
159	BP	GO:0009889	regulation of biosynthetic process	2935	0.04762021871366155	1.0
160	CC	GO:1902495	transmembrane transporter complex	326	0.047669335304089074	1.0
161	BP	GO:0010556	regulation of macromolecule biosynthetic process	2776	0.048257376610780445	1.0
162	MF	GO:0003676	nucleic acid binding	2774	0.048282701700135905	1.0
163	BP	GO:0019219	regulation of nucleobase-containing compound metabolic process	2756	0.04853022153595361	1.0
164	BP	GO:2000112	regulation of cellular macromolecule biosynthetic process	2753	0.048574910079044124	1.0
165	BP	GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity	47	0.050083611793141386	1.0
166	MF	GO:1904315	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	47	0.050083611793141386	1.0
167	BP	GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	48	0.05112360783884537	1.0
168	BP	GO:0071709	membrane assembly	48	0.05112360783884537	1.0
169	BP	GO:0048814	regulation of dendrite morphogenesis	49	0.05216255276414606	1.0
170	MF	GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	49	0.05216255276414606	1.0
171	BP	GO:0010975	regulation of neuron projection development	345	0.052779831288768495	1.0
172	CC	GO:1990351	transporter complex	345	0.052779831288768495	1.0
173	BP	GO:0072657	protein localization to membrane	348	0.05360463916616128	1.0
174	BP	GO:0061245	establishment or maintenance of bipolar cell polarity	51	0.05423729314837896	1.0
175	BP	GO:0035088	establishment or maintenance of apical/basal cell polarity	51	0.05423729314837896	1.0
176	MF	GO:0022824	transmitter-gated ion channel activity	51	0.05423729314837896	1.0
177	MF	GO:0022835	transmitter-gated channel activity	51	0.05423729314837896	1.0
178	BP	GO:0060079	excitatory postsynaptic potential	56	0.05940581757556355	1.0
179	CC	GO:0098984	neuron to neuron synapse	57	0.06043638852975803	1.0
180	BP	GO:0050804	modulation of chemical synaptic transmission	373	0.06066072132948766	1.0
181	BP	GO:0099177	regulation of trans-synaptic signaling	374	0.06094959149620199	1.0
182	MF	GO:0003674	molecular_function	11545	0.061528826175211264	1.0
183	BP	GO:0061097	regulation of protein tyrosine kinase activity	59	0.06249440425076051	1.0
184	BP	GO:0046425	regulation of receptor signaling pathway via JAK-STAT	60	0.06352185094986189	1.0
185	MF	GO:0005230	extracellular ligand-gated ion channel activity	60	0.06352185094986189	1.0
186	BP	GO:0010770	positive regulation of cell morphogenesis involved in differentiation	63	0.06659795797822783	1.0
187	BP	GO:0007416	synapse assembly	63	0.06659795797822783	1.0
188	MF	GO:0098960	postsynaptic neurotransmitter receptor activity	63	0.06659795797822783	1.0
189	BP	GO:1904892	regulation of receptor signaling pathway via STAT	65	0.06864351140397928	1.0
190	BP	GO:1901216	positive regulation of neuron death	66	0.06966473562393102	1.0
191	CC	GO:0031594	neuromuscular junction	66	0.06966473562393102	1.0
192	BP	GO:0035264	multicellular organism growth	67	0.07068492612894062	1.0
193	BP	GO:0051966	regulation of synaptic transmission, glutamatergic	67	0.07068492612894062	1.0
194	BP	GO:0050772	positive regulation of axonogenesis	67	0.07068492612894062	1.0
195	BP	GO:1902414	protein localization to cell junction	68	0.07170408387825086	1.0
196	BP	GO:0051668	localization within membrane	411	0.07197795285860469	1.0
197	MF	GO:0004725	protein tyrosine phosphatase activity	70	0.07373930494269883	1.0
198	BP	GO:0051262	protein tetramerization	73	0.0767844148061951	1.0
199	BP	GO:0050773	regulation of dendrite development	74	0.0777973961201316	1.0
200	MF	GO:0001540	amyloid-beta binding	74	0.0777973961201316	1.0
201	BP	GO:0060284	regulation of cell development	434	0.07915051740431168	1.0
202	MF	GO:0004888	transmembrane signaling receptor activity	967	0.08245670717269933	1.0
203	CC	GO:0098685	Schaffer collateral - CA1 synapse	79	0.08284693077908949	1.0
204	BP	GO:1901360	organic cyclic compound metabolic process	2476	0.08401025251036576	1.0
205	BP	GO:0006950	response to stress	2460	0.08405260878536666	1.0
206	BP	GO:0051252	regulation of RNA metabolic process	2547	0.08433961162272559	1.0
207	BP	GO:0010769	regulation of cell morphogenesis involved in differentiation	81	0.0848595888359118	1.0
208	BP	GO:2001141	regulation of RNA biosynthetic process	2355	0.08541545333297496	1.0
209	BP	GO:1903506	regulation of nucleic acid-templated transcription	2346	0.08562109314866352	1.0
210	BP	GO:0006355	regulation of transcription, DNA-templated	2345	0.08564481868648963	1.0
211	BP	GO:0051716	cellular response to stimulus	2341	0.08574147694820418	1.0
212	BP	GO:0033043	regulation of organelle organization	985	0.08615255792965698	1.0
213	BP	GO:0034641	cellular nitrogen compound metabolic process	2658	0.08651499225830872	1.0
214	BP	GO:0097553	calcium ion transmembrane import into cytosol	84	0.08787093270459732	1.0
215	MF	GO:0030594	neurotransmitter receptor activity	84	0.08787093270459732	1.0
216	BP	GO:0060078	regulation of postsynaptic membrane potential	86	0.08987341084698448	1.0
217	BP	GO:0019222	regulation of metabolic process	4760	0.09001987906500791	1.0
218	BP	GO:0060402	calcium ion transport into cytosol	89	0.092869520292873	1.0
219	MF	GO:0050839	cell adhesion molecule binding	480	0.09416039787625698	1.0
220	MF	GO:0004896	cytokine receptor activity	91	0.09486186573939939	1.0
221	MF	GO:0005262	calcium channel activity	92	0.0958565230297956	1.0
222	MF	GO:0099094	ligand-gated cation channel activity	93	0.09685017128413773	1.0
223	BP	GO:0007417	central nervous system development	94	0.09784281144082581	1.0
224	BP	GO:0031644	regulation of nervous system process	97	0.10081469269706884	1.0
225	CC	GO:0098797	plasma membrane protein complex	504	0.10231487082161835	1.0
226	BP	GO:0060401	cytosolic calcium ion transport	100	0.1037775347807283	1.0
227	CC	GO:0005923	bicellular tight junction	100	0.1037775347807283	1.0
228	MF	GO:0015085	calcium ion transmembrane transporter activity	100	0.1037775347807283	1.0
229	MF	GO:0043177	organic acid binding	100	0.1037775347807283	1.0
230	MF	GO:0016798	hydrolase activity, acting on glycosyl bonds	102	0.10574775352524245	1.0
231	CC	GO:0070160	tight junction	103	0.10673136290033103	1.0
232	BP	GO:0045471	response to ethanol	106	0.10967620220047664	1.0
233	BP	GO:2001056	positive regulation of cysteine-type endopeptidase activity	107	0.11065582212188106	1.0
234	MF	GO:0015276	ligand-gated ion channel activity	113	0.11651267814765184	1.0
235	MF	GO:0022834	ligand-gated channel activity	113	0.11651267814765184	1.0
236	BP	GO:0050806	positive regulation of synaptic transmission	114	0.11748535219779419	1.0
237	BP	GO:0048731	system development	553	0.11957772177574164	1.0
238	MF	GO:0060089	molecular transducer activity	1151	0.12362681435926402	1.0
239	MF	GO:0038023	signaling receptor activity	1151	0.12362681435926402	1.0
240	BP	GO:0031503	protein-containing complex localization	122	0.1252312332217708	1.0
241	CC	GO:0005737	cytoplasm	3601	0.1261077239675192	1.0
242	BP	GO:1901564	organonitrogen compound metabolic process	3618	0.12634935056955132	1.0
243	BP	GO:0006470	protein dephosphorylation	125	0.128119723143743	1.0
244	CC	GO:0045211	postsynaptic membrane	125	0.128119723143743	1.0
245	BP	GO:0044260	cellular macromolecule metabolic process	3348	0.1281579476277887	1.0
246	CC	GO:0120025	plasma membrane bounded cell projection	1173	0.12902246639777445	1.0
247	MF	GO:0022843	voltage-gated cation channel activity	126	0.1290805949307158	1.0
248	BP	GO:0010950	positive regulation of endopeptidase activity	128	0.13099940670049637	1.0
249	BP	GO:0007420	brain development	129	0.13195734850605	1.0
250	MF	GO:0004721	phosphoprotein phosphatase activity	130	0.13291431547258833	1.0
251	MF	GO:0005488	binding	10725	0.13476263176763695	1.0
252	BP	GO:0019722	calcium-mediated signaling	132	0.13482532852561596	1.0
253	MF	GO:0140375	immune receptor activity	133	0.13577937642867538	1.0
254	BP	GO:0007163	establishment or maintenance of cell polarity	135	0.1376845595235335	1.0
255	BP	GO:0050770	regulation of axonogenesis	136	0.13863569652728333	1.0
256	MF	GO:0031406	carboxylic acid binding	136	0.13863569652728333	1.0
257	BP	GO:0010952	positive regulation of peptidase activity	141	0.1433768722791178	1.0
258	CC	GO:0005912	adherens junction	141	0.1433768722791178	1.0
259	CC	GO:0005770	late endosome	141	0.1433768722791178	1.0
260	BP	GO:0006139	nucleobase-containing compound metabolic process	2129	0.14340071880341043	1.0
261	BP	GO:0009892	negative regulation of metabolic process	2146	0.14362248198852584	1.0
262	BP	GO:0031345	negative regulation of cell projection organization	142	0.14432221189375033	1.0
263	BP	GO:0010605	negative regulation of macromolecule metabolic process	1983	0.14449875299289372	1.0
264	BP	GO:0009058	biosynthetic process	1980	0.14457926245861227	1.0
265	BP	GO:0046483	heterocycle metabolic process	2246	0.14633988467643105	1.0
266	BP	GO:0006725	cellular aromatic compound metabolic process	2294	0.14847831248186802	1.0
267	CC	GO:0042995	cell projection	1254	0.14966934841621457	1.0
268	BP	GO:0060255	regulation of macromolecule metabolic process	4376	0.1514919833118809	1.0
269	MF	GO:0005244	voltage-gated ion channel activity	151	0.15278703776827834	1.0
270	MF	GO:0022832	voltage-gated channel activity	151	0.15278703776827834	1.0
271	BP	GO:0050896	response to stimulus	4294	0.15377666796298398	1.0
272	BP	GO:0031323	regulation of cellular metabolic process	4230	0.1563153019570214	1.0
273	CC	GO:0016323	basolateral plasma membrane	156	0.15745625170384045	1.0
274	BP	GO:0048167	regulation of synaptic plasticity	157	0.15838723927101853	1.0
275	BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	158	0.1593172771738983	1.0
276	MF	GO:0019902	phosphatase binding	158	0.1593172771738983	1.0
277	BP	GO:0070588	calcium ion transmembrane transport	161	0.16210170177362132	1.0
278	BP	GO:2000116	regulation of cysteine-type endopeptidase activity	171	0.1713217535008248	1.0
279	BP	GO:0016311	dephosphorylation	172	0.17223858900758976	1.0
280	CC	GO:0014069	postsynaptic density	177	0.1768087377311104	1.0
281	BP	GO:0045597	positive regulation of cell differentiation	706	0.17768576356848095	1.0
282	BP	GO:0051259	protein complex oligomerization	181	0.18044807462253526	1.0
283	CC	GO:0070161	anchoring junction	715	0.18125792167118626	1.0
284	CC	GO:0099572	postsynaptic specialization	182	0.1813555852724421	1.0
285	BP	GO:0022603	regulation of anatomical structure morphogenesis	726	0.18564210106999235	1.0
286	BP	GO:0009790	embryo development	193	0.19127716591595428	1.0
287	BP	GO:0019932	second-messenger-mediated signaling	196	0.1939637216959205	1.0
288	BP	GO:0034329	cell junction assembly	201	0.19842301441942264	1.0
289	BP	GO:0006816	calcium ion transport	205	0.2019740401119725	1.0
290	BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	210	0.20639240132047248	1.0
291	MF	GO:0016791	phosphatase activity	211	0.20727335929014482	1.0
292	MF	GO:0043169	cation binding	2889	0.2099430807452507	1.0
293	BP	GO:0097305	response to alcohol	216	0.2116646244643593	1.0
294	BP	GO:0030182	neuron differentiation	219	0.21428859429641356	1.0
295	BP	GO:0007611	learning or memory	224	0.21864396835609734	1.0
296	BP	GO:0034613	cellular protein localization	821	0.22420123815196366	1.0
297	BP	GO:0022604	regulation of cell morphogenesis	231	0.2247040595894449	1.0
298	BP	GO:0070727	cellular macromolecule localization	827	0.2266707384866107	1.0
299	BP	GO:0052548	regulation of endopeptidase activity	234	0.2272879355853793	1.0
300	BP	GO:1901214	regulation of neuron death	238	0.2307207391414974	1.0
301	CC	GO:0005764	lysosome	238	0.2307207391414974	1.0
302	CC	GO:0000323	lytic vacuole	238	0.2307207391414974	1.0
303	MF	GO:0022836	gated channel activity	243	0.23499194688281547	1.0
304	MF	GO:0000166	nucleotide binding	1696	0.23710480536332118	1.0
305	BP	GO:0051172	negative regulation of nitrogen compound metabolic process	1691	0.23710549810454412	1.0
306	MF	GO:1901265	nucleoside phosphate binding	1697	0.2371057401819679	1.0
307	BP	GO:0090304	nucleic acid metabolic process	1687	0.23711250914336002	1.0
308	MF	GO:0016740	transferase activity	1706	0.23713019166103616	1.0
309	MF	GO:0003677	DNA binding	1657	0.23734987663400567	1.0
310	BP	GO:0006357	regulation of transcription by RNA polymerase II	1739	0.2374640823840442	1.0
311	MF	GO:0097367	carbohydrate derivative binding	1775	0.23825711704714145	1.0
312	MF	GO:0005261	cation channel activity	247	0.23839314024448743	1.0
313	BP	GO:0031324	negative regulation of cellular metabolic process	1805	0.23925075573069948	1.0
314	BP	GO:0009891	positive regulation of biosynthetic process	1577	0.23962361042520927	1.0
315	BP	GO:0050890	cognition	249	0.24008849745771782	1.0
316	BP	GO:0044249	cellular biosynthetic process	1832	0.24039712723550954	1.0
317	BP	GO:0080090	regulation of primary metabolic process	4069	0.24124753935770393	1.0
318	MF	GO:0003824	catalytic activity	4095	0.24134550210618108	1.0
319	BP	GO:0050794	regulation of cellular process	7785	0.24176396750432255	1.0
320	BP	GO:0051171	regulation of nitrogen compound metabolic process	3940	0.24270633036582911	1.0
321	BP	GO:0007275	multicellular organism development	254	0.24431166144584673	1.0
322	CC	GO:0030424	axon	255	0.24515369010798815	1.0
323	BP	GO:1901576	organic substance biosynthetic process	1920	0.2457242029091744	1.0
324	BP	GO:0006996	organelle organization	1923	0.2459472564921728	1.0
325	BP	GO:0050789	regulation of biological process	8090	0.2464951998689343	1.0
326	BP	GO:0048589	developmental growth	258	0.24767458254404495	1.0
327	MF	GO:0046873	metal ion transmembrane transporter activity	258	0.24767458254404495	1.0
328	BP	GO:0043085	positive regulation of catalytic activity	881	0.24902591541621075	1.0
329	BP	GO:0040007	growth	264	0.25269306980617984	1.0
330	BP	GO:0009410	response to xenobiotic stimulus	266	0.25435901974865094	1.0
331	BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	267	0.25519070852971215	1.0
332	MF	GO:0042277	peptide binding	267	0.25519070852971215	1.0
333	MF	GO:0031625	ubiquitin protein ligase binding	269	0.25685151775691767	1.0
334	BP	GO:0052547	regulation of peptidase activity	282	0.26756372595247224	1.0
335	MF	GO:0042578	phosphoric ester hydrolase activity	282	0.26756372595247224	1.0
336	MF	GO:0044389	ubiquitin-like protein ligase binding	285	0.2700154460692162	1.0
337	BP	GO:0045862	positive regulation of proteolysis	287	0.27164571513932617	1.0
338	CC	GO:0032991	protein-containing complex	4664	0.2716506309228196	1.0
339	BP	GO:1904062	regulation of cation transmembrane transport	288	0.27245958876002335	1.0
340	BP	GO:0045860	positive regulation of protein kinase activity	292	0.27570669568020834	1.0
341	CC	GO:0005773	vacuole	292	0.27570669568020834	1.0
